,Questions,Category1,type
2945,What number is at 12 o 'clock on a dartboard ?,NUM,0
2946,Which team won the Super Bowl in 1968 ?,HUM,1
2947,What is the recommended daily requirement for folic acid for pregnant women ?,DESC,1
2948,What film dramatized the Scopes monkey trial ?,ENTY,1
2949,CNN is owned by whom ?,HUM,1
2950,What country offered Albert Einstein its presidency in 1952 ?,LOC,1
2951,What is the HIGHEST Roman numeral ?,DESC,1
2952,"What TV series saw many of its aquatic scenes shot at Silver Springs , Florida ?",ENTY,1
2953,Who was the 15th century fire-and-brimstone monk who gained control of Florence but ended burnt at the stake ?,HUM,1
2954,How is digital audio used ?,DESC,1
2955,What is AFS ?,ABBR,1
2956,Who was Quetzalcoatl ?,HUM,1
2957,What operating system do IBM-compatible machines use ?,ENTY,1
2958,What French leader sold Louisiana to the United States ?,HUM,1
2959,"What bay sparkles next to Miami , Florida ?",LOC,1
2960,How many miles of veins are in the circulatory system ?,NUM,0
2961,What famed river flows through Bagdad ?,LOC,1
2962,How is bubble wrap made ?,DESC,1
2963,What is Java ?,DESC,1
2964,Who is the prime minister of Japan ?,HUM,1
2965,What player squats an average of 3 times during a baseball doubleheader ?,HUM,1
2966,What 's the most common name in nursery rhymes ?,HUM,1
2967,How many `` No '' answers was the What 's My Line ? panel allowed ?,NUM,0
2968,What is the fine for having a dog on a beach ?,NUM,0
2969,"Who wrote the book , `` Song of Solomon '' ?",HUM,1
2970,"Where can one find information on religion and health , the brain and nutrition ?",LOC,1
2971,Name the Ranger who was always after Yogi Bear .,HUM,1
2972,What TV show did John Sebastian sing the theme for ?,ENTY,1
2973,Who is the president of the Spanish government ?,HUM,1
2974,Who holds the career record for the most major league home runs ?,HUM,1
2975,Which of the following actors worked in New York 's Yiddish Theater ?,HUM,1
2976,Who invented the stethoscope ?,HUM,1
2977,What is a mathematical factor ?,DESC,1
2978,How many four star generals were there and who are they ?,NUM,0
2979,When did Nixon die ?,NUM,0
2980,What was originally defined as one 1-millionth of the distance from the equator to the Pole ?,ENTY,1
2981,What comedian hit the TV screen in 1951 with the NBC afternoon show Time for Ernie ?,HUM,1
2982,How many members are in the California congressional delegation ?,NUM,0
2983,What erupts every hour at Yellowstone National Park ?,LOC,1
2984,What country contains the highest point in South America ?,LOC,1
2985,What are Arnold Palmer 's fans called ?,HUM,1
2986,Who retired with 755 home runs to his credit ?,HUM,1
2987,What constellation represents a hunter with club and shield ?,LOC,1
2988,Who developed potlatch ?,HUM,1
2989,How long did Shea and Gould practice law in Los Angeles ?,NUM,0
2990,What 's a perfect score in a gymnastics exercise ?,NUM,0
2991,"What group included Abbey Hoffman , Jerry Rubin , and Tom Hayden ?",HUM,1
2992,What made Jane Goodall famous ?,DESC,1
2993,At what age did Rossini stop writing opera ?,NUM,0
2994,What Russian seaport has a name meaning `` Lord of the East '' ?,LOC,1
2995,Name the two actress daughters of John Mills .,HUM,1
2996,How old was Gene Siskel ?,NUM,0
2997,What can be done about snoring ?,DESC,1
2998,What Rocky Mountain ridge separates North America 's eastward and westward-flowing rivers ?,LOC,1
2999,Who is the actress Bette Davis once said she wished she looked like ?,HUM,1
3000,Who portrayed The Cowardly Lion in The Wizard of Oz ?,HUM,1
3001,What does a chiropodist treat ?,ENTY,1
3002,What is porphyria ?,DESC,1
3003,What gate opened on East and West Berlin ?,LOC,1
3004,Who was the first king of England ?,HUM,1
3005,What made the Finger Lakes in western New York state ?,DESC,1
3006,In what movie is the number nine found in the title ?,ENTY,1
3007,How many calories are there in soy sauce ?,NUM,0
3008,Who killed Kurt Cobain ?,HUM,1
3009,Who created the monster in Mary Shelley 's novel Frankenstein ?,HUM,1
3010,What 's the farthest planet from the sun ?,LOC,1
3011,Why does the sun shine only a short time in Alaska ?,DESC,1
3012,What chemical in red wine is good for the heart and what exactly does it do to your body ?,ENTY,1
3013,How does blood clot ?,DESC,1
3014,How big is our galaxy in diameter ?,NUM,0
3015,"What product `` doubles your pleasure , doubles your fun '' ?",ENTY,1
3016,When is a woman most fertile ?,NUM,0
3017,What son of a 15-year-old Mexican girl and a half-Irish father became the world 's most famous Greek ?,HUM,1
3018,Who was the first man to return to space ?,HUM,1
3019,What brand of jeans did Calvin Klein admit in a 1984 interview he felt more comfortable wearing ?,ENTY,1
3020,Who gave Abbie Hoffman his first dose of LSD ?,HUM,1
3021,What effect does friction have on perpetual motion ?,DESC,1
3022,What did the Seven Dwarfs do for a living ?,HUM,1
3023,What 4-foot-9 actress in 1984 became the first performer to win an Oscar for playing a character of the opposite sex ?,HUM,1
3024,Who shot Billy the Kid ?,HUM,1
3025,What is he doing now ?,DESC,1
3026,What Mormon leader was said to have had 27 wives ?,HUM,1
3027,What video format was an alternative to VHS ?,ENTY,1
3028,Where did the term `` 69 '' come from ?,DESC,1
3029,What is money made of ?,ENTY,1
3030,What 's the name of a hotel in Indianapolis ?,LOC,1
3031,How many people in Tucson ?,NUM,0
3032,Where is Melbourne ?,LOC,1
3033,With whom did Bush compare Saddam Hussein ?,HUM,1
3034,What country was Mikhail Gorbachev the leader of ?,LOC,1
3035,"What is the recommended weight of a 15 year-old male that is 5 , 6 ?",NUM,0
3036,What pillar of the Dutch Renaissance painted Aristotle Contemplating the Bust of Homer ?,HUM,1
3037,What is the largest county in size in Massachusetts ?,LOC,1
3038,What is the name of the brilliant British economist behind its creation ?,HUM,1
3039,Who played Sally Rogers on The Dick Van Dyke Show ?,HUM,1
3040,What is it like to experience a near death episode ?,DESC,1
3041,What mythical figure carries an hourglass and a scythe ?,HUM,1
3042,How much is a Canadian 1967 twenty dollar gold coin worth ?,NUM,0
3043,Why didn 't European colonial rule spread until after the first and second industrial revolutions ?,DESC,1
3044,What natural attractions draw the most visitors in the United States ?,LOC,1
3045,What presidential administration challenged Americans to explore The New Frontier ?,HUM,1
3046,How many years did Sleeping Beauty sleep ?,NUM,0
3047,How long does it take for your body to restore blood after you donate your blood ?,NUM,0
3048,How do I know someone is truly in love with me ?,DESC,1
3049,Which of many numbered vats of Scotch was judged best by a panel of experts in 1863 ?,ENTY,1
3050,What is literary criticism ?,DESC,1
3051,How do you throw a housewarming party ?,DESC,1
3052,What international sport was originally called hurley ?,ENTY,1
3053,What river runs through Liverpool ?,LOC,1
3054,What famous British actor lost his voice after an operation in 1966 ?,HUM,1
3055,What does the term 3 mean to a newspaper editor ?,DESC,1
3056,What company makes impulse hardening equipment ?,HUM,1
3057,What country was Kim Philby really working for ?,LOC,1
3058,What does Freddy Freeman say to become Captain Marvel Jr. ?,DESC,1
3059,What country was Hitler the chancellor of ?,LOC,1
3060,What is Rona Barrett 's married name ?,HUM,1
3061,How many years make up a lustrum ?,NUM,0
3062,What are close encounters of the first and second kind ?,ENTY,1
3063,Who is the mathematician that won the Noble Prize for Literature in 1950 ?,HUM,1
3064,Which glamorous actress is a close friend of Dick Tracy ?,HUM,1
3065,What 1956 Grace Metalious novel was on the best-seller list for two years ?,ENTY,1
3066,Name the three races unleashed by the Celestials in Marvel comics .,HUM,1
3067,How old is the Italian artist Maurizio Pellegrin ?,NUM,0
3068,"What President hit the jogging paths to enhance his athletic image and , sporting No. 39 , almost collapsed during the road race ?",HUM,1
3069,What is the distinction of Erle Stanley Gardner 's The Case of the Terrified Typist ?,DESC,1
3070,What North American city would you visit to see Cleopatra 's Needle ?,LOC,1
3071,When was the NFL established ?,NUM,0
3072,Where can I find an Ask An Expert site ?,LOC,1
3073,What writer-journalist made his mark describing colorful Broadway and underworld characters ?,HUM,1
3074,What U.S. state has the lowest highest elevation at 6 feet ?,LOC,1
3075,What are the residents of the island of Lesbos called ?,HUM,1
3076,What is the organizational structure of the New Delhi Indira Gandhi airport ?,ENTY,1
3077,"At Christmas time , what is the traditional thing to do under the mistletoe ?",ENTY,1
3078,What baseball great plugged Mr. Coffee ?,HUM,1
3079,What international amateur sports spectacle was first telecast in 1956 ?,ENTY,1
3080,What is the origin of the word `` amen '' ?,DESC,1
3081,Who 's baby was Sweet Pea on the Popeye cartoon ?,HUM,1
3082,Where is Mile High Stadium ?,LOC,1
3083,"What were Baffin , Frobisher and Franklin looking for ?",ENTY,1
3084,What is limbo ?,DESC,1
3085,What city contains the district of Hell 's Kitchen ?,LOC,1
3086,What interesting method was used to run the credits in the early Popeye cartoons ?,ENTY,1
3087,What are the stars made of ?,ENTY,1
3088,"What English physician was born on January 18 , 1779 and went on to create two important inventions ?",HUM,1
3089,"Who did Arthur H. Bremer try to assassinate on May 15 , 1972 ?",HUM,1
3090,How fast must a spacecraft travel to escape Earth 's gravity ?,NUM,0
3091,What apostle is Taylor Caldwell 's Great Lion of God ?,HUM,1
3092,How many rings are there on a five-zone archery target ?,NUM,0
3093,"What anesthetic did Queen Victoria allow to be used for the birth of her seventh child , in 1853 ?",ENTY,1
3094,"What element , from the Periodic Table , is a gas or a solid , but never a liquid ?",ENTY,1
3095,What is a tonne ?,DESC,1
3096,Which one of the Great Lakes is entirely within U.S. territory ?,LOC,1
3097,What is DEET ?,ABBR,1
3098,What company sells the most greeting cards ?,HUM,1
3099,What U.S. state has sagebrush as its state flower ?,LOC,1
3100,What is the Bernoulli Principle ?,DESC,1
3101,What 's comic strip photographer Peter Parker 's secret identity ?,HUM,1
3102,What is difference between a poster and a print ?,DESC,1
3103,In which sport is there a `` scrum '' ?,ENTY,1
3104,What are the best ways to improve employee morale at low cost ?,ENTY,1
3105,What nationality is Pope John Paul II ?,LOC,1
3106,What is false consciousness ?,DESC,1
3107,How did the Great Depression affect Japan 's history ?,DESC,1
3108,Which side should a bowler facing a 37803 split hit the 3-pin on-the left or the right ?,ENTY,1
3109,Where are some great educational resources for parents and teachers ?,LOC,1
3110,How many Israeli athletes were killed at the Munich Olympics ?,NUM,0
3111,What is the Scotch `` for people who know the difference '' ?,ENTY,1
3112,When was Richard Nixon born ?,NUM,0
3113,What New York City landmark has 168 steps to its crown ?,LOC,1
3114,Where is the Bulls basketball team based ?,LOC,1
3115,What is the recomended age to switch a child from a crib to a bed ?,NUM,0
3116,Which Rockefeller was sometimes called `` JDR3 '' ?,HUM,1
3117,When is the Sun closest to the Earth ?,NUM,0
3118,What are some chemical properties of mendelevium ?,DESC,1
3119,What is the average hours per months spent online by AOL users ?,NUM,0
3120,Whom did Friz Freleng add to the Warner Bros. cartoon ranks ?,HUM,1
3121,What is the origin of the word `` sideburns '' ?,DESC,1
3122,The trials resulting from World War II are known as what ?,ENTY,1
3123,What started in 1849 when gold was discovered at Sutter 's Mill ?,ENTY,1
3124,What is a First World country ?,DESC,1
3125,Who was Shakespeare 's Moorish general ?,HUM,1
3126,What 's the second-highest mountain in the world ?,LOC,1
3127,What country was Erich Honecker the leader of ?,LOC,1
3128,How does salt melt ice and snow ?,DESC,1
3129,"What two Japanese cities are spelled with the letters K , O , O , T and Y ?",LOC,1
3130,What does laser stand for ?,DESC,1
3131,Who taught Matt Murdock to use his extraordinary abilities in Marvel comics ?,HUM,1
3132,Where did Wile E. Coyote always get his devices ?,LOC,1
3133,How far away is the moon ?,NUM,0
3134,What famous film and TV cowboy lent his name to a fast food chain ?,HUM,1
3135,What is mandibulofacial dysostosis ?,DESC,1
3136,What was the reason for the partition of the Anglican and Vatican churches ?,DESC,1
3137,What is Butterfield 8 in Butterfield 8 ?,DESC,1
3138,Who famously rode to warn the people of Massachusetts that the British were coming ?,HUM,1
3139,What is DTMF ?,ABBR,1
3140,"Name a movie that the actress , Sandra Bullock , had a role in .",ENTY,1
3141,"What blew up at Lakehurst , New Jersey , on May 6 , 1977 ?",ENTY,1
3142,Who commanded the French forces at the Battle of Orleans ?,HUM,1
3143,Where can an individual get a contact lens tested that burned the entire surface of eye when new ?,LOC,1
3144,What countries does the Mont Blanc Tunnel join ?,LOC,1
3145,What ill-fated craft was captained by Ernst Lehmann ?,ENTY,1
3146,When did Amtrak begin operations ?,NUM,0
3147,How many bones are in the human hand ?,NUM,0
3148,How many chemical elements are there ?,NUM,0
3149,What eastern state sprouted the first commercial nuclear power plant in the U.S. ?,LOC,1
3150,What are the three most populated countries in the world ?,LOC,1
3151,Who led the opposition when Konrad Adenauer was Chancellor in Germany ?,HUM,1
3152,"What is the current population for these countries : France , Spain , Italy , Greece , Austria , Germany , Switzerland , the Netherlands ?",NUM,0
3153,What is the youngest age a boy or girl can have an orgasm ?,NUM,0
3154,What color is the lipstick on Boy George 's wax lips at London 's Madame Tussaud 's ?,ENTY,1
3155,What is the origin of the candy cane at Christmas ?,DESC,1
3156,What is the brand name of a chemical used to control ripening ?,ENTY,1
3157,What terror of the sea did Johnny Horton sing about ?,ENTY,1
3158,What is the largest office block in the world ?,LOC,1
3159,Who turned all he touched to gold ?,HUM,1
3160,What is the medical term for cancer of the blood ?,ENTY,1
3161,Who plays shortstop for Charlie Brown 's baseball team ?,HUM,1
3162,What country did the Romans call Hibernia ?,LOC,1
3163,Who was the most famous food editor of The New York Times ?,HUM,1
3164,How many dogs pull a sled in the Iditarod ?,NUM,0
3165,What 's a male witch called ?,ENTY,1
3166,How long does cocaine stay in your system ?,NUM,0
3167,What two countries fought the Hundred Years ' War ?,LOC,1
3168,Who was the last U.S. president to reinstate Selective Service registration ?,HUM,1
3169,"On which dates does the running of the bulls occur in Pamplona , Spain ?",NUM,0
3170,What was the name of the lawyer who represented Randy Steven Craft ?,HUM,1
3171,What happens to used motor oil ?,DESC,1
3172,What is the most commonly used 1 letter word in the English language ?,ENTY,1
3173,What actress 's autobiography is titled Shelley : Also Known as Shirley ?,HUM,1
3174,How many colors was the 1940s collectible called a Donald Duck Rubber Boat ?,NUM,0
3175,How did the 7th inning stretch get started ?,DESC,1
3176,Who lived on the shores of the Gitchee Gumee River ?,HUM,1
3177,What did Tristan come back as ?,ENTY,1
3178,What country will hit the year 2 first ?,LOC,1
3179,What colors make up a rainbow ?,ENTY,1
3180,What war did Johnny Reb and Billy Yank fight ?,ENTY,1
3181,Who is section manager for guidance and control systems at JPL ?,HUM,1
3182,What is Goldfinger 's first name ?,HUM,1
3183,What square is the geographical center of London ?,LOC,1
3184,Which of the following famous people does not paint as a hobby ?,HUM,1
3185,What is the most populated city in the world ?,LOC,1
3186,How many pitchers occupy the shelf beside the crouching woman in Edgar Degas 's 1886 painting The Tub ?,NUM,0
3187,What is the cost of the drugs used in tuberculosis treatments ?,NUM,0
3188,What does JESSICA mean ?,ABBR,1
3189,What famed gangland slaughter cut into the membership of Bugs Moran 's outfit ?,ENTY,1
3190,Ray Charles is best known for playing what instrument ?,ENTY,1
3191,Where did Victor Hugo spend his exile ?,LOC,1
3192,"What was Nine Tailors , the television show from 1974 , about ?",DESC,1
3193,How does the Elongated Man know a mystery is afoot ?,DESC,1
3194,What food of the three bears did Goldilocks eat ?,ENTY,1
3195,What is Boston Kreme ?,DESC,1
3196,Who should I call to get a tour of the New York Stock Exchange ?,HUM,1
3197,How many airline schools are there in the U.S. ?,NUM,0
3198,"What U.S. general died December 1 , 1945 , when his jeep collided with a truck ?",HUM,1
3199,What is a swatch ?,DESC,1
3200,What does Ouija mean ?,DESC,1
3201,How many major Nazi leaders went on trial after the war at Nuremberg ?,NUM,0
3202,What kind of fish is a coney ?,ENTY,1
3203,What state did Helen Keller call home ?,LOC,1
3204,What was the name of the director of the movie `` Jaws '' ?,HUM,1
3205,What steps can be taken to prevent diabetes ?,DESC,1
3206,What were the first words spoken on a film sound track ?,DESC,1
3207,What year is etched on the Gold Medal of Excellence from the Paris Exposition depicted on a can of Campbell 's tomato soup ?,NUM,0
3208,What country 's royal house is Bourbon-Parma ?,LOC,1
3209,What film was Jude Law in ?,ENTY,1
3210,Who portrayed W.C. Fields in the film W.C. Fields and Me ?,HUM,1
3211,What were the ceremony traditions like during the Elizabethian times ?,ENTY,1
3212,Which college did Dikembe Mutombo play basketball at ?,HUM,1
3213,What is a fear of going to bed ?,ENTY,1
3214,Where did the saying `` rule of thumb '' come from ?,DESC,1
3215,Why does sound travel quicker through water than air ?,DESC,1
3216,How much money does the Sultan of Brunei have ?,NUM,0
3217,What country would you visit to ski in the Dolomites ?,LOC,1
3218,What month 's third weekend is the Monterey Jazz Festival held on ?,NUM,0
3219,What is the `` Global Economy '' ?,DESC,1
3220,Who built the first successful stern wheel steamboat ?,HUM,1
3221,What is a caul ?,DESC,1
3222,Who was Hitler 's minister of propaganda ?,HUM,1
3223,Who was the first doctor to successfully transplant a liver ?,HUM,1
3224,What does the theory of quantum leaps mean in simpler terms ?,DESC,1
3225,What is a bone marrow transplant ?,DESC,1
3226,What is the difference between a classical and an acoustic guitar ?,DESC,1
3227,What African capital is named for a U.S. president ?,LOC,1
3228,What is the name of a language spoken by the Sioux ?,ENTY,1
3229,What Mediterranean island is home to the first Club Med ?,LOC,1
3230,What does an edentulous smile lack ?,ENTY,1
3231,What is a fear of jealousy ?,ENTY,1
3232,Where can you find the Venus flytrap ?,LOC,1
3233,What is the largest sculpture in the world ?,ENTY,1
3234,When was John D. Rockefeller born ?,NUM,0
3235,What building built in 18 contains 327 miles of book shelves ?,LOC,1
3236,What is home banking ?,DESC,1
3237,What William Makepeace Thackeray novel was made into a film by Stanley Kubrick ?,ENTY,1
3238,Who was the lawyer for Randy Steven Craft ?,HUM,1
3239,How do hermit crabs reproduce ?,DESC,1
3240,Who is reputed to be the greatest maker of violins ?,HUM,1
3241,How do you stop junk snail mail ?,DESC,1
3242,What future Soviet dictator was training to be a priest when he got turned on to Marxism ?,HUM,1
3243,How long does James Bond like his eggs boiled ?,NUM,0
3244,What U.S. city 's skyline boasts the Gateway Arch ?,LOC,1
3245,Where is Belize located ?,LOC,1
3246,What 's the common name for a Japanese dwarf tree ?,ENTY,1
3247,What did Thomas Paine write ?,ENTY,1
3248,Who sued the Dannon yougurt company for using a character named Ron Raider for promotion ?,HUM,1
3249,Who was the first jockey to ride two Triple Crown winners ?,HUM,1
3250,What Lewis Carroll book introduced Humpty Dumpty to the world ?,ENTY,1
3251,Who wrote Brave New World ?,HUM,1
3252,What state does Charles Robb represent ?,LOC,1
3253,What is hydroelectricity ?,DESC,1
3254,How many people are taller than 7 feet ?,NUM,0
3255,Who wrote Unsafe at Any Speed ?,HUM,1
3256,How many islands make up Antigua ?,NUM,0
3257,How does an abacus work ?,DESC,1
3258,What causes rust ?,DESC,1
3259,What is the fear of the computer called ?,ENTY,1
3260,What is a technique popularly used to detect birth defects ?,ENTY,1
3261,"What U.S. state boasts Stone Mountain , the world 's largest mass of exposed granite ?",LOC,1
3262,What British commander surrendered to George Washington at Yorktown in 1781 ?,HUM,1
3263,"What according to the Kinsey Institute , is the sexual preference of four percent of American males ?",DESC,1
3264,"Who created the World Wide Web , WWW ?",HUM,1
3265,What is the procedure called for drilling a hole in your skull to acheive a higher consciousness ?,ENTY,1
3266,What is the name of the president of Garmat U.S.A ?,HUM,1
3267,"What was the name of the television show , starring Karl Madsen , that had San Francisco in the title ?",ENTY,1
3268,Who were leaders of the Byzantine empire ?,HUM,1
3269,Who was the first President to appoint a woman to head a cabinet ?,HUM,1
3270,What is splatterpunk ?,DESC,1
3271,What is the orgin of xoxoxox ?,DESC,1
3272,Who built the first pyramid ?,HUM,1
3273,What southeast Asian country has the Wang River joining the Ping River at Tak ?,LOC,1
3274,"What Italian city of 155 were Leonardo da Vinci , Michaelangelo , and Machiavelli all working in ?",LOC,1
3275,What color tennis balls are used at Wimbledon ?,ENTY,1
3276,What is a 2-sided object called ?,ENTY,1
3277,Name a French fascist party .,HUM,1
3278,Name the French historical period during the reign of Napoleon III .,ENTY,1
3279,What movie has made the most money ?,ENTY,1
3280,What is time ?,DESC,1
3281,How many states have a lottery ?,NUM,0
3282,"What is the name of the largest city in Chile , South America ?",LOC,1
3283,What are you caught in if a haboob blows up ?,ENTY,1
3284,What ratio of children of ages between two and eleven watch ` The Simpsons ' ?,NUM,0
3285,How many cities are there in Utah ?,NUM,0
3286,What famous meat company went out of business because it became known that the underworld had been selling them kangaroo meat ?,HUM,1
3287,How many visitors go to the Vatican each year ?,NUM,0
3288,What is the population of Mexico ?,NUM,0
3289,How do you get silly putty out of fabric ?,DESC,1
3290,What is the best online games site ?,LOC,1
3291,Why is the word `` abbreviation '' so long ?,DESC,1
3292,What century did art 's Romantic Period begin in ?,NUM,0
3293,How many spaces follow a period at the end of a sentence ?,NUM,0
3294,What is a cake of soap ?,DESC,1
3295,In what year was the Berlin Wall erected ?,NUM,0
3296,What is the weight of a teaspoon of matter in a black hole ?,NUM,0
3297,What is the approximate weight of a teaspoon of matter in a black hole ?,NUM,0
3298,What does MSG stand for ?,ABBR,1
3299,On what avenue is the original Saks department store located ?,LOC,1
3300,Where does the song Anything Goes take place ?,LOC,1
3301,Where was the first zoo in the U.S. ?,LOC,1
3302,How far is Yaroslavl from Moscow ?,NUM,0
3303,What is April 's gemstone ?,ENTY,1
3304,What is the present Pope named ?,HUM,1
3305,Who is the nebbish that is Marvel 's official mascot ?,HUM,1
3306,What powdered soft drink mix went into space ?,ENTY,1
3307,What did the Chinese emperor present to the English soldier Gordon in recognition of his services in quelling rebellions ?,ENTY,1
3308,What is one of the languages spoken by the Sioux called ?,ENTY,1
3309,How many bytes are in a terabyte ?,NUM,0
3310,Who sang the song `` Hooked on a Feeling '' in the dancing baby episode of `` Ally Mcbeal '' ?,HUM,1
3311,In what ways did Ivan IV support Russian expansion ?,ENTY,1
3312,Approximately how much does a teaspoon of matter weigh in a black hole ?,NUM,0
3313,What country 's flag is field green ?,LOC,1
3314,What sport is known for hooligans ?,ENTY,1
3315,"Who was the Columbia Pictures head who forged actor Cliff Robertson 's name on a $1 , 000 check ?",HUM,1
3316,Who was Damocles ?,HUM,1
3317,What sport was the first televised in the U.S. ?,ENTY,1
3318,Name Dondi 's adoptive grandfather .,HUM,1
3319,When was the Congress of Vienna ?,NUM,0
3320,What are the lyrics to `` Smelly Cat '' ?,DESC,1
3321,How much folic acid should a pregnant woman get each day ?,NUM,0
3322,What year was the first automobile manufactured ?,NUM,0
3323,How many colonies did Germany get to keep after World War I ?,NUM,0
3324,How many states have a `` lemon law '' for new automobiles ?,NUM,0
3325,Whose biography by Maurice Zolotow is titled Shooting Star ?,HUM,1
3326,What concerts are held in New York this week ?,ENTY,1
3327,In the movie Groundshog Day what is the name of the character played by Andie MacDowell ?,HUM,1
3328,What are the requirements for becoming a citizen of Australia ?,DESC,1
3329,How old is Benny Carter ?,NUM,0
3330,What are the top ten all-time money making NFL teams ?,HUM,1
3331,What were hairy bank notes in the fur trade ?,ENTY,1
3332,Where can I read about Chiang Kai-shek ?,LOC,1
3333,What is idealab ! ?,DESC,1
3334,What country borders the most others ?,LOC,1
3335,What does the E stand for in the equation E=mc2 ?,ABBR,1
3336,"What river runs through Colorado , Kansas , and Oklahoma ?",LOC,1
3337,Which airplane did Fawaz Younis hijack ?,ENTY,1
3338,What is Win Rah ?,DESC,1
3339,Why is the moon different sizes and colors ?,DESC,1
3340,"What college enlivens Hanover , New Hampshire ?",HUM,1
3341,What does VCR stand for ?,ABBR,1
3342,How close a cousin was Franklin D. to Theodore Roosevelt ?,DESC,1
3343,Name a novel written by John Steinbeck .,ENTY,1
3344,Who was the first American citizen awarded the Albert Medal of the Society of Arts ?,HUM,1
3345,What doctor is synonymous with footwear and foot care ?,HUM,1
3346,How do boats float ?,DESC,1
3347,"What are the shoe sizes of O 'Neal , Jordan , and Mutombo , the NBA players ?",NUM,0
3348,Who founded the Unification Church ?,HUM,1
3349,How many zeros are there in a trillion ?,NUM,0
3350,"What was the name of the Crimean meeting of Roosevelt , Churchill , and Stalin ?",ENTY,1
3351,What are the only players eligible to score points in Roller Derby called ?,HUM,1
3352,What are the statistics for drunken drivers in Maryland ?,NUM,0
3353,What ill-fated American general dragged a bull terrier named Willie through World War II ?,HUM,1
3354,What 's the score of a forfeited baseball game ?,NUM,0
3355,Where does tuberculosis come from ?,LOC,1
3356,Who invented the lawnmower ?,HUM,1
3357,Where can I find lyrics for R&amp;B ?,LOC,1
3358,What is the name of David Letterman 's dog ?,ENTY,1
3359,What U.S. senator once played basketball for the New York Knicks ?,HUM,1
3360,What are the titles of some R-Rated Sony Playstation games ?,ENTY,1
3361,What playing card symbolizes death ?,ENTY,1
3362,What is an urban legend ?,DESC,1
3363,What is Li 'l Abner 's last name ?,HUM,1
3364,How many liberty bells have there been ?,NUM,0
3365,What two countries are separated by the Bering Strait ?,LOC,1
3366,What is Smartnet ?,DESC,1
3367,What is a synonym for aspartame ?,ENTY,1
3368,Jackson Pollock is of what nationality ?,LOC,1
3369,"What are vermicilli , rigati , zitoni , and tubetti ?",DESC,1
3370,"Name the product that is `` at your grocer 's , at your fingertips . ''",ENTY,1
3371,"What architect originated the glass house designed the Chicago Federal Center had a philosophy of `` less is more , '' and produced plans that were the forerunner of the California ranch house ?",HUM,1
3372,How many Russians have landed on the moon ?,NUM,0
3373,Which thrilled taste buds first - Snickers or 3 Musketeers ?,ENTY,1
3374,What animal do buffalo wings come from ?,ENTY,1
3375,What is the purpose of the SysRq key on my computer keyboard ?,DESC,1
3376,When was Franklin D. Roosevelt stricken with polio ?,NUM,0
3377,How do you find out what is allowed to claim as a contibution for income tax purposes ?,DESC,1
3378,How do you build a solar car for a high school experiment ?,DESC,1
3379,Where on the Internet can I get chemicals importers ?,LOC,1
3380,What was the first country to put a second woman in space ?,LOC,1
3381,"What was the 24-disc John Gabel Entertainer the first example of , in 1960 ?",ENTY,1
3382,What is the feudal system ?,DESC,1
3383,Who shared a New York City apartment with Roger Maris the year he hit 61 home runs ?,HUM,1
3384,What 's the geographic term for the submerged fringe of a continent ?,ENTY,1
3385,"What prison is found in Ossining , New York ?",LOC,1
3386,What country has declared one-fifth of its territory off-limits to Russians ?,LOC,1
3387,What is the main application of sodium hydrosulfite ?,DESC,1
3388,Name the story by Chris Van Allsburg in the which a boy tries to become a great sailor ?,ENTY,1
3389,What are the components of polyester ?,ENTY,1
3390,What product features a frog that says `` dig 'em '' ?,ENTY,1
3391,Who is the director of intergovernmental affairs for the San Diego county ?,HUM,1
3392,What Hall of Fame pitcher started three World Series Games for the New York Yankees in 1962 ?,HUM,1
3393,What is the longest river in the United States ?,LOC,1
3394,What does the channel ESPN stand for ?,ABBR,1
3395,What river is Windsor Castle on ?,LOC,1
3396,What is the best brand for a laptop computer ?,ENTY,1
3397,"Where is Natchitoches , Louisiana ?",LOC,1
3398,What do pointed letters mean to a handwriting analyst ?,DESC,1
3399,What political party is Sinn Fein a part of ?,HUM,1
3400,What was Franklin Roosevelt 's program for economic recovery called during the Great Depression ?,ENTY,1
3401,What is the name of a Greek god ?,HUM,1
3402,What 's the capital of Taiwan ?,LOC,1
3403,What did Englishman John Hawkins begin selling to New World colonists in 1562 ?,ENTY,1
3404,What is the starting salary for beginning lawyers ?,NUM,0
3405,What was the man 's name who was killed in a duel with Aaron Burr ?,HUM,1
3406,What did Louis Cartier invent for aviator Santos Dumont in 1940 ?,ENTY,1
3407,What will the California gas tax be in the year 2000 ?,NUM,0
3408,What city is served by Tempelhol Airport ?,LOC,1
3409,Who directed the first Woody Woodpecker cartoon ?,HUM,1
3410,CNN is an acronym for what ?,ABBR,1
3411,What is the origin of the name Igor ?,DESC,1
3412,What was the first Gilbert and Sullivan opera ?,ENTY,1
3413,"What two historical figures , who fought each other in a famous battle , each have a food named after them ?",HUM,1
3414,Where in the United States do people live the longest ?,LOC,1
3415,What country in 1998 had the most suicides regardless of population size ?,LOC,1
3416,What is the price for tuberculosis drugs ?,NUM,0
3417,What was the first minimum wage ?,NUM,0
3418,What is the difference between a college and a university ?,DESC,1
3419,What substance did Joseph Priestley name for its ability to erase pencil marks ?,ENTY,1
3420,What are the limits to `` self-defense ? '',DESC,1
3421,How can I get my product licensed by the NBA ?,DESC,1
3422,What fast food is prepared with a `` secret blend of 11 herbs and spices ? '',ENTY,1
